user_id,track_id,track_name,artist_id,artist_name,play_count
user_1,track_1,The Weeknd Song 1,artist_1,The Weeknd,21
user_1,track_2,The Weeknd Song 2,artist_1,The Weeknd,21
user_1,track_3,Drake Song 1,artist_2,Drake,19
user_1,track_4,Drake Song 2,artist_2,Drake,19
user_1,track_5,Travis Scott Song 1,artist_3,Travis Scott,16
user_1,track_6,Travis Scott Song 2,artist_3,Travis Scott,15
user_1,track_7,Kendrick Lamar Song 1,artist_4,Kendrick Lamar,13
user_1,track_8,Kendrick Lamar Song 2,artist_4,Kendrick Lamar,12
user_1,track_9,J. Cole Song 1,artist_5,J. Cole,9
user_1,track_10,J. Cole Song 2,artist_5,J. Cole,9
user_1,track_33,SZA Song 1,artist_17,SZA,8
user_1,track_34,SZA Song 2,artist_17,SZA,8
user_1,track_11,Dua Lipa Song 1,artist_6,Dua Lipa,5
user_1,track_12,Dua Lipa Song 2,artist_6,Dua Lipa,4
user_1,track_27,Daft Punk Song 1,artist_14,Daft Punk,4
user_1,track_28,Daft Punk Song 2,artist_14,Daft Punk,3
user_2,track_3,Drake Song 1,artist_2,Drake,26
user_2,track_4,Drake Song 2,artist_2,Drake,26
user_2,track_7,Kendrick Lamar Song 1,artist_4,Kendrick Lamar,19
user_2,track_8,Kendrick Lamar Song 2,artist_4,Kendrick Lamar,18
user_2,track_9,J. Cole Song 1,artist_5,J. Cole,17
user_2,track_10,J. Cole Song 2,artist_5,J. Cole,16
user_2,track_5,Travis Scott Song 1,artist_3,Travis Scott,13
user_2,track_6,Travis Scott Song 2,artist_3,Travis Scott,13
user_2,track_1,The Weeknd Song 1,artist_1,The Weeknd,10
user_2,track_2,The Weeknd Song 2,artist_1,The Weeknd,10
user_2,track_33,SZA Song 1,artist_17,SZA,8
user_2,track_34,SZA Song 2,artist_17,SZA,7
user_2,track_17,Billie Eilish Song 1,artist_9,Billie Eilish,4
user_2,track_18,Billie Eilish Song 2,artist_9,Billie Eilish,4
user_2,track_13,Taylor Swift Song 1,artist_7,Taylor Swift,3
